,studyName,Sample Number,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,Species
33,PAL0708,33,Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,11/9/07,40.9,18.9,184.0,3900.0,MALE,8.79665,-25.14591,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
34,PAL0708,34,Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,11/16/07,36.4,17.0,195.0,3325.0,FEMALE,9.17847,-25.23061,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
35,PAL0708,35,Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,11/16/07,39.2,21.1,196.0,4150.0,MALE,9.15308,-25.03469,,Adelie Penguin (Pygoscelis adeliae)
36,PAL0708,36,Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,11/16/07,38.8,20.0,190.0,3950.0,,9.18985,-25.12255,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
37,PAL0708,37,Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,11/16/07,42.2,18.5,180.0,3550.0,FEMALE,8.04787,-25.49523,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
38,PAL0708,38,Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,11/13/07,37.6,19.3,181.0,3300.0,FEMALE,9.41131,-25.04169,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
39,PAL0708,39,Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,11/13/07,39.8,19.1,184.0,4650.0,MALE,7.6322,-27.01854,Nest never observed with full clutch. Not enough blood for isotopes.,Adelie Penguin (Pygoscelis adeliae)
40,PAL0708,40,Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,11/16/07,36.5,18.0,182.0,3150.0,,9.68933,-24.4228,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
41,PAL0708,41,Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,11/16/07,40.8,18.4,195.0,3900.0,MALE,7.6322,-27.01854,Not enough blood for isotopes.,Adelie Penguin (Pygoscelis adeliae)
42,PAL0708,42,Anvers,,"Adult, 1 Egg Stage",N27A1,Yes,11/19/07,36.0,18.5,186.0,3100.0,,9.50772,-25.03492,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
43,PAL0708,43,Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,11/19/07,44.1,19.7,196.0,4400.0,MALE,9.2372,-24.52698,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
44,PAL0708,44,Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,11/16/07,37.0,16.9,185.0,3000.0,FEMALE,9.36392,-25.01745,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
45,PAL0708,45,Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,11/16/07,39.6,18.8,190.0,4600.0,MALE,9.49106,-24.10255,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
46,PAL0708,46,Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,11/13/07,41.1,19.0,182.0,3425.0,MALE,7.6322,-27.01854,Not enough blood for isotopes.,Adelie Penguin (Pygoscelis adeliae)
47,PAL0708,47,Anvers,Dream,"Adult, 1 Egg Stage",N29A2,Yes,11/13/07,37.5,18.9,179.0,2975.0,MALE,7.6322,-27.01854,Sexing primers did not amplify. Not enough blood for isotopes.,Adelie Penguin (Pygoscelis adeliae)
48,PAL0708,48,Anvers,Dream,"Adult, 1 Egg Stage",N30A1,Yes,11/13/07,36.0,17.9,190.0,3450.0,FEMALE,9.51784,-25.07683,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
49,PAL0708,49,Anvers,Dream,"Adult, 1 Egg Stage",N30A2,Yes,11/13/07,42.3,21.2,191.0,4150.0,MALE,8.87988,-25.18543,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
50,PAL0809,50,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,11/6/08,39.6,17.7,186.0,3500.0,FEMALE,8.46616,-26.12989,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
51,PAL0809,51,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,11/6/08,40.1,18.9,188.0,4300.0,MALE,8.51362,-26.55602,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
52,PAL0809,52,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,11/9/08,35.0,17.9,190.0,3450.0,FEMALE,8.19539,-26.17213,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
53,PAL0809,53,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,11/9/08,42.0,19.5,200.0,4050.0,MALE,8.48095,-26.3146,,Adelie Penguin (Pygoscelis adeliae)
54,PAL0809,54,Anvers,Biscoe,"Adult, 1 Egg Stage",,Yes,11/9/08,34.5,18.1,187.0,2900.0,FEMALE,8.41837,-26.54718,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
55,PAL0809,55,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,11/9/08,41.4,18.6,191.0,3700.0,MALE,8.35396,-26.27853,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
56,PAL0809,56,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A1,Yes,11/15/08,39.0,17.5,186.0,3550.0,FEMALE,8.57199,-26.07188,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
57,PAL0809,57,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A2,,11/15/08,40.6,18.8,193.0,3800.0,MALE,8.56674,-25.98843,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
58,PAL0809,58,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A1,Yes,11/15/08,36.5,16.6,181.0,2850.0,FEMALE,11.802414,-25.88156,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
59,PAL0809,59,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A2,Yes,11/15/08,37.6,19.1,194.0,3750.0,MALE,9.108,-25.89677,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
60,PAL0809,60,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A1,Yes,11/13/08,35.7,16.9,185.0,3150.0,FEMALE,8.96472,-26.40943,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
61,PAL0809,61,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A2,Yes,11/13/08,41.3,21.1,195.0,4400.0,MALE,8.74802,-26.37809,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
62,PAL0809,62,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,11/13/08,37.6,17.0,185.0,3600.0,FEMALE,8.58063,-26.21569,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
63,PAL0809,63,Anvers,Biscoe,,N28A2,Yes,11/13/08,41.1,18.2,192.0,4050.0,MALE,8.62264,-26.60023,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
64,PAL0809,64,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,11/13/08,36.4,17.1,184.0,2850.0,FEMALE,8.62623,-26.1165,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
65,PAL0809,65,Anvers,Biscoe,"Adult, 1 Egg Stage",,Yes,11/13/08,41.6,18.0,192.0,3950.0,MALE,8.85562,-26.09294,,Adelie Penguin (Pygoscelis adeliae)
66,PAL0809,66,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A1,Yes,11/6/08,35.5,16.2,195.0,3350.0,,8.56192,-25.95541,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
67,PAL0809,67,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A2,Yes,11/6/08,41.1,19.1,188.0,4100.0,MALE,8.71078,-25.81012,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
68,PAL0809,68,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,11/11/08,35.9,16.6,190.0,3050.0,FEMALE,8.47781,-26.07821,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
69,PAL0809,69,Anvers,Torgersen,"Adult, 1 Egg Stage",,No,11/11/08,41.8,19.4,198.0,4450.0,MALE,8.86853,-26.06209,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
70,PAL0809,70,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A1,Yes,11/14/08,33.5,19.0,190.0,3600.0,,7.88863,-26.63085,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
71,PAL0809,71,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A2,Yes,11/14/08,39.7,18.4,190.0,3900.0,MALE,9.29808,-25.23453,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
72,PAL0809,72,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A1,Yes,11/11/08,39.6,17.2,196.0,3550.0,FEMALE,8.33524,-26.55351,,Adelie Penguin (Pygoscelis adeliae)
73,PAL0809,73,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A2,Yes,11/11/08,45.8,18.9,197.0,4150.0,MALE,8.18658,-26.45978,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
74,PAL0809,74,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A1,Yes,11/8/08,35.5,17.5,190.0,3700.0,FEMALE,8.70642,-26.15003,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
75,PAL0809,75,Anvers,Torgersen,"Adult, 1 Egg Stage",,Yes,11/8/08,42.8,18.5,195.0,4250.0,MALE,8.2993,-26.38986,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
76,PAL0809,76,Anvers,,"Adult, 1 Egg Stage",N37A1,Yes,11/6/08,40.9,16.8,191.0,3700.0,,8.47257,-26.02002,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
77,PAL0809,77,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,11/6/08,37.2,19.4,184.0,3900.0,MALE,8.3554,-26.44787,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
78,PAL0809,78,Anvers,,"Adult, 1 Egg Stage",N38A1,Yes,11/9/08,36.2,16.1,187.0,3550.0,FEMALE,7.82381,-26.51382,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
79,PAL0809,79,Anvers,,"Adult, 1 Egg Stage",N38A2,Yes,11/9/08,42.1,19.1,195.0,4000.0,MALE,9.05736,-25.81513,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
80,PAL0809,80,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A1,Yes,11/2/08,34.6,17.2,189.0,3200.0,FEMALE,7.69778,-26.5387,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
81,PAL0809,81,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,11/2/08,42.9,17.6,196.0,4700.0,MALE,8.63259,-26.23027,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
82,PAL0809,82,Anvers,,"Adult, 1 Egg Stage",N40A1,Yes,11/7/08,36.7,18.8,187.0,3800.0,FEMALE,7.88494,-26.24837,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
83,PAL0809,83,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,11/7/08,35.1,19.4,193.0,4200.0,,11.570026,-26.46254,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
84,PAL0809,84,Anvers,,"Adult, 1 Egg Stage",N41A1,Yes,11/17/08,37.3,17.8,191.0,3350.0,FEMALE,8.32718,-26.38396,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
85,PAL0809,85,Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,11/17/08,41.3,20.3,194.0,3550.0,MALE,9.14863,-26.09635,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
86,PAL0809,86,Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,11/8/08,36.3,19.5,190.0,3800.0,MALE,8.57087,-26.22227,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
87,PAL0809,87,Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,11/8/08,36.9,18.6,189.0,3500.0,FEMALE,8.59147,-26.08165,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
88,PAL0809,88,Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,11/8/08,38.3,19.2,189.0,3950.0,MALE,9.07826,-26.12417,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
89,PAL0809,89,Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,11/8/08,38.9,18.8,190.0,3600.0,FEMALE,8.36936,-26.11199,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
90,PAL0809,90,Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,11/14/08,35.7,18.0,202.0,3550.0,FEMALE,8.46531,-26.05621,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
91,PAL0809,91,Anvers,Dream,"Adult, 1 Egg Stage",N45A2,Yes,11/14/08,41.1,18.1,205.0,4300.0,MALE,8.77018,-25.83352,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
92,PAL0809,92,Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,11/5/08,34.0,17.1,185.0,3400.0,FEMALE,8.01485,-26.69543,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
93,PAL0809,93,Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,11/5/08,39.6,18.1,186.0,4450.0,MALE,8.49915,-26.42406,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
94,PAL0809,94,Anvers,Dream,"Adult, 1 Egg Stage",,Yes,11/17/08,36.2,17.3,187.0,3300.0,FEMALE,8.90723,-26.30037,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
95,PAL0809,95,Anvers,Dream,"Adult, 1 Egg Stage",N48A2,Yes,11/17/08,40.8,18.9,208.0,4300.0,MALE,8.48204,-26.57941,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
96,PAL0809,96,Anvers,Dream,"Adult, 1 Egg Stage",N49A1,Yes,11/8/08,38.1,18.6,190.0,3700.0,FEMALE,8.10277,-26.50086,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
97,PAL0809,97,Anvers,Dream,"Adult, 1 Egg Stage",N49A2,Yes,11/8/08,40.3,18.5,196.0,4350.0,MALE,8.39459,-26.01152,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
98,PAL0809,98,Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,11/10/08,33.1,16.1,178.0,2900.0,FEMALE,9.04218,-26.15775,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
99,PAL0809,99,Anvers,Dream,"Adult, 1 Egg Stage",N50A2,Yes,11/10/08,43.2,18.5,192.0,4100.0,MALE,8.97025,-26.03679,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
100,PAL0910,100,Anvers,,"Adult, 1 Egg Stage",N47A1,Yes,11/9/09,35.0,17.9,192.0,3725.0,FEMALE,8.84451,-26.28055,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
101,PAL0910,101,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,11/9/09,41.0,20.0,203.0,4725.0,MALE,9.01079,-26.38085,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
102,PAL0910,102,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A1,Yes,11/15/09,37.7,16.0,183.0,3075.0,FEMALE,9.2151,-26.2253,,Adelie Penguin (Pygoscelis adeliae)
103,PAL0910,103,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A2,Yes,11/15/09,37.8,20.0,190.0,4250.0,MALE,9.51929,-25.69199,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
104,PAL0910,104,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,11/15/09,37.9,18.6,193.0,2925.0,FEMALE,9.02642,-25.86482,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
105,PAL0910,105,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,11/15/09,39.7,18.9,184.0,3550.0,,8.85699,-25.80208,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
106,PAL0910,106,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,11/15/09,38.6,17.2,199.0,3750.0,FEMALE,8.77322,-26.48973,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
107,PAL0910,107,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A2,Yes,11/15/09,38.2,20.0,190.0,3900.0,MALE,9.59245,-25.70711,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
108,PAL0910,108,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,11/20/09,38.1,17.0,181.0,3175.0,FEMALE,9.79532,-25.27385,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
109,PAL0910,109,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,11/20/09,43.2,19.0,197.0,4775.0,MALE,9.31735,-25.45171,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
110,PAL0910,110,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,11/12/09,38.1,16.5,198.0,3825.0,,8.43951,-26.57563,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
111,PAL0910,111,Anvers,Biscoe,"Adult, 1 Egg Stage",,Yes,11/12/09,45.6,20.3,191.0,4600.0,MALE,11.251058,-26.32909,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
112,PAL0910,112,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,11/15/09,39.7,17.7,193.0,3200.0,FEMALE,9.02657,-26.06203,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
113,PAL0910,113,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,11/15/09,42.2,19.5,197.0,4275.0,MALE,8.80186,-26.41218,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
114,PAL0910,114,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A1,Yes,11/17/09,39.6,20.7,191.0,3900.0,FEMALE,8.80967,-26.78958,,Adelie Penguin (Pygoscelis adeliae)
115,PAL0910,115,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A2,Yes,11/17/09,42.7,18.3,196.0,4075.0,MALE,8.91434,-26.42018,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
116,PAL0910,116,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A1,Yes,11/18/09,38.6,17.0,188.0,2900.0,,9.18021,-25.77264,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
117,PAL0910,117,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A2,Yes,11/18/09,37.3,20.5,199.0,3775.0,MALE,9.49645,-26.36678,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
